850.0,600.0
100.0,0.0
150.0,0.0
200.0,0.0
250.0,0.0
500.0,0.0
550.0,0.0
600.0,0.0
650.0,0.0
700.0,0.0
750.0,0.0
800.0,0.0
0.0,100.0
0.0,150.0
0.0,200.0
0.0,250.0
0.0,500.0
0.0,550.0
800.0,50.0
800.0,100.0
800.0,150.0
800.0,200.0
800.0,250.0
800.0,300.0
800.0,350.0
800.0,400.0
800.0,450.0
800.0,500.0
800.0,550.0
800.0,600.0
50.0,650.0
100.0,650.0
150.0,650.0
200.0,650.0
250.0,650.0
300.0,650.0
350.0,650.0
400.0,650.0
450.0,650.0
500.0,650.0
550.0,650.0
600.0,650.0
650.0,650.0
700.0,650.0
750.0,650.0
800.0,650.0
400.0,250.0
100.0, 100.0
200.0, 100.0
300.0, 100.0
200.0, 200.0
300.0, 200.0
400.0, 200.0
400.0, 300.0
500.0, 300.0
